"Index","Carrier","Year","Service category","Request","Code type","Code","Description of service","Number of requests per code","Approval rate","Initially denied then approved - approval rate","Expedited - Avg response time","Standard - Avg response time","Extenuating circumstances - Avg response time","Expedited - Number of requests","Standard - Number of requests","Extenuating circumstances - Number of requests","Drug name","Drug brand names"
"26","Carrier C","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","95250","GLUCOSE MONITORING 72 HRS MD OR OTH QUAL, EQUIP PROV, REC/STORAGE GL","29","86%",,"16.1","429.4",,,,,"NA","NA"
"27","Carrier C","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","A9276","SENSOR;INVSV DISP INTRSTL CONT GLU MON SYS 1U=1D","1,041","85%",,"14.7","371.7",,,,,"NA","NA"
"28","Carrier C","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","E0607","HOME BLOOD GLUCOSE MONITOR","10","80%",,"7.3","193.9",,,,,"NA","NA"
"29","Carrier C","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","E0784","EXTERN AMBUL INSULIN INFUS PUMP","179","78%",,"63.9","385.1",,,,,"NA","NA"
"30","Carrier C","2020","Diabetes Supplies and Equip","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","K0553","SUPPLY ALLOWANCE FOR THERAPEUTIC CONTINUOUS GLUCOSE MONITOR (CGM), INCLUDES ALL SUPPLIES AND ACCESSORIES","21","67%",,"34.3","956.6",,,,,"NA","NA"
"31","Carrier C","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","95249","GLUCOSE MONITORING 72 HRS, PT PROVIDED EQUIP, TRAINING AND RECORDING","11","100%",,,"188.2",,,,,"NA","NA"
"32","Carrier C","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A9277","TRANSMITTER; EXT INTERSTITIAL CONT GLU MON SYS","8","100%",,"0.3","75.4",,,,,"NA","NA"
"33","Carrier C","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A6460","SYNTHETIC DRSG <= 16 SQ I","2","100%",,,"0.1",,,,,"NA","NA"
"34","Carrier C","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A4221","WEEKLY SUPPLIES DRUG INFUS CATH","2","100%",,,"382.5",,,,,"NA","NA"
"35","Carrier C","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A4245","ALCOHOL WIPES PER BOX","1","100%",,"0.2",,,,,,"NA","NA"
"36","Carrier C","2020","Diabetes Supplies and Equip","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","A6461","SYNTHETIC DRSG >16<=48 SQ","1","100%",,,"0.1",,,,,"NA","NA"
