"Index","Carrier","Year","Service category","Request","Code type","Code","Description of service","Number of requests per code","Approval rate","Initially denied then approved - approval rate","Expedited - Avg response time","Standard - Avg response time","Extenuating circumstances - Avg response time","Expedited - Number of requests","Standard - Number of requests","Extenuating circumstances - Number of requests","Drug name","Drug brand names"
"1540","Carrier G","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","19325","BREAST AUGMENTATION WITH IMPLANT","7","71%",,,"42.5",,,,,"NA","NA"
"1541","Carrier G","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","90869","REPET TMS TX SUBSEQ MOTR THRESHLD W/DELIV  and  MN","5","60%",,"48.6","107.6",,,,,"NA","NA"
"1542","Carrier G","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","55970","INTERSEX SURG MALE FEMALE","7","57%",,,"64",,,,,"NA","NA"
"1543","Carrier G","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","90791","PSYCHIATRIC DIAGNOSTIC EVALUATION","9","44%",,,"80.5",,,,,"NA","NA"
"1544","Carrier G","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","80307","DRUG TST PRSMV INSTRMNT CHEM ANALYZERS PR DATE","8","38%",,,"72.5",,,,,"NA","NA"
"1545","Carrier G","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","97530","THERAPEUT ACTVITY DIRECT PT CONTACT EACH 15 MIN","5","0%",,,"16.3",,,,,"NA","NA"
"1546","Carrier G","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","81381","HLA I TYPING HIGH RESOLUTION 1 ALLELE/ALLELE GRP","3","100%",,,"0",,,,,"NA","NA"
"1547","Carrier G","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","H0004","BEHAVIORAL HEALTH CNSL AND THERAPY PER 15 MINUTES","2","100%",,,"77.7",,,,,"NA","NA"
"1548","Carrier G","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","96164","HEALTH BEHAVIOR IVNTJ GROUP F2F 1ST 30 MIN","2","100%",,,"77.7",,,,,"NA","NA"
"1549","Carrier G","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","H0035","MENTAL HEALTH PARTIAL HOSP TX  LT  24 HOURS","2","100%",,"29.7","25.6",,,,,"NA","NA"
"1550","Carrier G","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","92523","EVAL SPEECH SOUND PRODUCT LANGUAGE COMPREHENSION","2","100%",,,"175.3",,,,,"NA","NA"
"1551","Carrier G","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","96165","HEALTH BEHAVIOR IVNTJ GROUP F2F EA ADDL 15 MIN","2","100%",,,"77.7",,,,,"NA","NA"
"1552","Carrier G","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","19350","NIPPLE/AREOLA RECONSTRUCTION","2","100%",,,"110.7",,,,,"NA","NA"
"1553","Carrier G","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","96133","NEUROPSYCHOLOGICAL TST EVAL PHYS/QHP EA ADDL HR","2","100%",,,"203.5",,,,,"NA","NA"
"1554","Carrier G","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","17380","ELECTROLYSIS EPILATION EACH 30 MINUTES","1","100%",,,"99.8",,,,,"NA","NA"
"1555","Carrier G","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","70551","MRI BRAIN BRAIN STEM W/O CONTRAST MATERIAL","1","100%",,,"23.5",,,,,"NA","NA"
"1556","Carrier G","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","96132","NEUROPSYCHOLOGICAL TST EVAL PHYS/QHP 1ST HOUR","1","0%","100%",,"192.4",,,,,"NA","NA"
"1557","Carrier G","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","92522","EVALUATION OF SPEECH SOUND PRODUCTION ARTICULATE","1","0%","100%",,"136.7",,,,,"NA","NA"
"1558","Carrier G","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","92610","EVAL ORAL AND PHARYNGEAL SWLNG FUNCJ","1","0%","100%",,"136.7",,,,,"NA","NA"
"1559","Carrier G","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","92523","EVAL SPEECH SOUND PRODUCT LANGUAGE COMPREHENSION","2","0%","50%",,"175.3",,,,,"NA","NA"
"1560","Carrier G","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","96133","NEUROPSYCHOLOGICAL TST EVAL PHYS/QHP EA ADDL HR","2","0%","50%",,"203.5",,,,,"NA","NA"
"1561","Carrier G","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","H0035","MENTAL HEALTH PARTIAL HOSP TX  LT  24 HOURS","2","0%","50%","29.7","25.6",,,,,"NA","NA"
"1562","Carrier G","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","96138","PSYCL/NRPSYCL TST TECH 2 Plus  TST 1ST 30 MIN","3","0%","33%",,"203.5",,,,,"NA","NA"
"1563","Carrier G","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","96121","NEUROBEHAVIORAL STATUS XM PHYS/QHP EA ADDL HOUR","3","0%","33%",,"203.5",,,,,"NA","NA"
"1564","Carrier G","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","96139","PSYCL/NRPSYCL TST TECH 2 Plus  TST EA ADDL 30 MIN","3","0%","33%",,"203.5",,,,,"NA","NA"
"1565","Carrier G","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","96116","NEUROBEHAVIORAL STATUS XM PHYS/QHP 1ST HOUR","3","0%","33%",,"203.5",,,,,"NA","NA"
"1566","Carrier H","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","90867","Therapeutic Repetitive Transcranial Magnetic Simulation (tms) Treatment; Including Cortical Mapping, Motor Threshold Determination, Delivery And Mgmt","153","91%",,,"67",,,,,"NA","NA"
"1567","Carrier H","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","90869","Therapeutic Repetitive Transcranial Magnetic Stimulation (tms) Treatment; Subsequent Motor Threshold Re-determination With Delivery And Management","155","86%",,"48","76",,,,,"NA","NA"
"1568","Carrier H","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","90868","Therapeutic Repetitive Transcranial Magnetic Simulation (tms) Treatment; Initial, Including Cortical Mapping, Motor Threshold Determination, Subsequent Delivery And Mgmt.","170","58%",,"48","77","146.3",,,,"NA","NA"
"1569","Carrier H","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","90867","Therapeutic Repetitive Transcranial Magnetic Simulation (tms) Treatment; Including Cortical Mapping, Motor Threshold Determination, Delivery And Mgmt","153","91%",,,"67.34",,,,,"NA","NA"
"1570","Carrier H","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","90869","Therapeutic Repetitive Transcranial Magnetic Stimulation (tms) Treatment; Subsequent Motor Threshold Re-determination With Delivery And Management","155","86%",,"48","76.46",,,,,"NA","NA"
"1571","Carrier H","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","90868","Therapeutic Repetitive Transcranial Magnetic Simulation (tms) Treatment; Initial, Including Cortical Mapping, Motor Threshold Determination, Subsequent Delivery And Mgmt.","170","58%",,"48","77.34",,,,,"NA","NA"
"1572","Carrier H","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","90867","Therapeutic Repetitive Transcranial Magnetic Simulation (tms) Treatment; Including Cortical Mapping, Motor Threshold Determination, Delivery And Mgmt","153","0%","33%",,"67.34",,,,,"NA","NA"
"1573","Carrier H","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","90869","Therapeutic Repetitive Transcranial Magnetic Stimulation (tms) Treatment; Subsequent Motor Threshold Re-determination With Delivery And Management","155","0%","22%","48","76.46",,,,,"NA","NA"
"1574","Carrier H","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","90870","Electroconvulsive therapy (includes necessary monitoring)","5","0%","20%","17","92",,,,,"NA","NA"
"1575","Carrier H","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","90868","Therapeutic Repetitive Transcranial Magnetic Simulation (tms) Treatment; Initial, Including Cortical Mapping, Motor Threshold Determination, Subsequent Delivery And Mgmt.","170","0%","10%","48","77.34",,,,,"NA","NA"
"1576","Carrier H","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","HCPC","S0201","Partial hospitalization services, less than 24 hours, per diem","44","0%","2%","65","68",,,,,"NA","NA"
"1577","Carrier I","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","H0035","Mental Health Partial Hospitalization, Treatment, Less Than 24 Hours","10","100%",,"20.64","23.2",,,,,"NA","NA"
"1578","Carrier I","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","90867","Therapeutic repetitive transcranial magnetic stimulation (TMS) treatment; initial, including cortical mapping, motor threshold determination, delivery and management","8","100%",,,"37.06",,,,,"NA","NA"
"1579","Carrier I","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","90868","Therapeutic repetitive transcranial magnetic stimulation (TMS) treatment; subsequent delivery and management, per session","8","100%",,,"37.06",,,,,"NA","NA"
"1580","Carrier I","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","90869","Therapeutic repetitive transcranial magnetic stimulation (TMS) treatment; subsequent motor threshold re-determination with delivery and management","8","100%",,,"37.06",,,,,"NA","NA"
"1581","Carrier I","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","H2036","Alcohol and/or other drug treatment program, per diem","6","100%",,,"57.31",,,,,"NA","NA"
"1582","Carrier I","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","H0015","Alcohol And/Or Drug Services","7","86%",,,"19.54",,,,,"NA","NA"
"1583","Carrier I","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","92507","Treatment of speech, language, voice, communication, and/or auditory processing disorder; individual","12","83%",,"0.61","35.61",,,,,"NA","NA"
"1584","Carrier I","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","97530","Therapeutic activities, direct (one-on-one) patient contact (use of dynamic activities to improve functional performance), each 15 minutes","2","50%",,,"72.67",,,,,"NA","NA"
"1585","Carrier I","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","97153","Adaptive behavior treatment by protocol, administered by technician under the direction of a physician or other qualified health care professional, face-to-face with one patient, each 15 minutes","2","50%",,,"20.86",,,,,"NA","NA"
"1586","Carrier I","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","81229","Cytogenomic constitutional (genome-wide) microarray analysis; interrogation of genomic regions for copy number and single nucleotide polymorphism (SNP) variants for chromosomal abnormalities","2","50%",,,"75.45",,,,,"NA","NA"
"1587","Carrier I","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","97155","Adaptive behavior treatment with protocol modification, administered by physician or other qualified health care professional, which may include simultaneous direction of technician, face-to-face with one patient, each 15 minutes","2","50%",,,"20.86",,,,,"NA","NA"
"1588","Carrier I","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","97156","Family adaptive behavior treatment guidance, administered by physician or other qualified health care professional (with or without the patient present), face-to-face with guardian(s)/caregiver(s), each 15 minutes","2","50%",,,"20.86",,,,,"NA","NA"
"1589","Carrier I","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","97110","Therapeutic procedure, 1 or more areas, each 15 minutes; therapeutic exercises to develop strength and endurance, range of motion and flexibility","2","50%",,,"72.02","352",,,,"NA","NA"
"1590","Carrier I","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","H0035","Mental Health Partial Hospitalization, Treatment, Less Than 24 Hours","10","100%",,"20.64","23.2",,,,,"NA","NA"
"1591","Carrier I","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","90868","Therapeutic repetitive transcranial magnetic stimulation (TMS) treatment; subsequent delivery and management, per session","8","100%",,,"37.06","1.6",,,,"NA","NA"
"1592","Carrier I","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","90867","Therapeutic repetitive transcranial magnetic stimulation (TMS) treatment; initial, including cortical mapping, motor threshold determination, delivery and management","8","100%",,,"37.06",,,,,"NA","NA"
"1593","Carrier I","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","90869","Therapeutic repetitive transcranial magnetic stimulation (TMS) treatment; subsequent motor threshold re-determination with delivery and management","8","100%",,,"37.06",,,,,"NA","NA"
"1594","Carrier I","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","H2036","Alcohol and/or other drug treatment program, per diem","6","100%",,,"57.31",,,,,"NA","NA"
"1595","Carrier I","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","70553","Magnetic resonance (eg, proton) imaging, brain (including brain stem); without contrast material, followed by contrast material(s) and further sequences","1","100%",,,"0",,,,,"NA","NA"
"1596","Carrier I","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","98943","Chiropractic manipulative treatment (CMT); extraspinal, 1 or more regions","1","100%",,,"1.68",,,,,"NA","NA"
"1597","Carrier I","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","97140","Manual therapy techniques (eg, mobilization/ manipulation, manual lymphatic drainage, manual traction), 1 or more regions, each 15 minutes","1","100%",,,"0.38","15.5",,,,"NA","NA"
"1598","Carrier I","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","81244","FMR1 (fragile X mental retardation 1) (eg, fragile X mental retardation) gene analysis; characterization of alleles (eg, expanded size and promoter methylation status)","1","100%",,,"75.45","23",,,,"NA","NA"
"1599","Carrier I","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","19303","Mastectomy, simple, complete","1","100%",,,"46.29","23.5",,,,"NA","NA"
"1600","Carrier I","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","81321","PTEN (phosphatase and tensin homolog) (eg, Cowden syndrome, PTEN hamartoma tumor syndrome) gene analysis; full sequence analysis","1","100%",,,"75.45",,,,,"NA","NA"
"1601","Carrier I","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","97112","Therapeutic procedure, 1 or more areas, each 15 minutes; neuromuscular reeducation of movement, balance, coordination, kinesthetic sense, posture, and/or proprioception for sitting and/or standing activities","1","100%",,,"0.38","20.8",,,,"NA","NA"
"1602","Carrier I","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","81323","PTEN (phosphatase and tensin homolog) (eg, Cowden syndrome, PTEN hamartoma tumor syndrome) gene analysis; duplication/deletion variant","1","100%",,,"75.45","8.7",,,,"NA","NA"
"1603","Carrier I","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","97151","Behavior identification assessment, administered by a physician or other qualified health care professional, each 15 minutes of the physician's or other qualified health care professional's time face-to-face with patient and/or guardian(s)/caregiver(s) administering assessments and discussing findings and recommendations, and non-face-to-face analyzing past data, scoring/interpreting the assessment, and preparing the report/treatment plan","1","100%",,,"20.86","10.6",,,,"NA","NA"
"1604","Carrier I","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","19350","Nipple/areola reconstruction","1","100%",,,"46.29","21.1",,,,"NA","NA"
"1605","Carrier I","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","81243","FMR1 (fragile X mental retardation 1) (eg, fragile X mental retardation) gene analysis; evaluation to detect abnormal (eg, expanded) alleles","1","100%",,,"75.45",,,,,"NA","NA"
"1606","Carrier I","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","70551","Magnetic resonance (eg, proton) imaging, brain (including brain stem); without contrast material","1","100%",,,"0","24",,,,"NA","NA"
"1607","Carrier I","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","70450","Computed tomography, head or brain; without contrast material","1","100%",,,"0","10.6",,,,"NA","NA"
"1608","Carrier I","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","92522","Evaluation of speech sound production (eg, articulation, phonological process, apraxia, dysarthria);","1","100%",,,"182.15",,,,,"NA","NA"
"1609","Carrier I","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","HCPC","H0035","Mental Health Partial Hospitalization, Treatment, Less Than 24 Hours","10","0%","0%","20.64","23.2",,,,,"NA","NA"
"1610","Carrier J","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","H0015","Alcohol And/Or Drug Services","235","99%",,"28.44","17.34",,,,,"NA","NA"
"1611","Carrier J","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","H2036","Alcohol and/or other drug treatment program, per diem","105","92%",,,"42.57",,,,,"NA","NA"
"1612","Carrier J","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","HCPC","H0035","Mental Health Partial Hospitalization, Treatment, Less Than 24 Hours","96","92%",,"35.94","60.64",,,,,"NA","NA"
"1613","Carrier J","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","90867","Therapeutic repetitive transcranial magnetic stimulation (TMS) treatment; initial, including cortical mapping, motor threshold determination, delivery and management","66","85%",,"22.38","45.15",,,,,"NA","NA"
"1614","Carrier J","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","90869","Therapeutic repetitive transcranial magnetic stimulation (TMS) treatment; subsequent motor threshold re-determination with delivery and management","57","81%",,"25.39","38.91",,,,,"NA","NA"
"1615","Carrier J","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","90868","Therapeutic repetitive transcranial magnetic stimulation (TMS) treatment; subsequent delivery and management, per session","76","79%",,"19.49","43.53",,,,,"NA","NA"
"1616","Carrier J","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","97155","Adaptive behavior treatment with protocol modification, administered by physician or other qualified health care professional, which may include simultaneous direction of technician, face-to-face with one patient, each 15 minutes","48","75%",,,"74.9",,,,,"NA","NA"
"1617","Carrier J","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","92507","Treatment of speech, language, voice, communication, and/or auditory processing disorder; individual","248","74%",,,"57.33",,,,,"NA","NA"
"1618","Carrier J","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","97156","Family adaptive behavior treatment guidance, administered by physician or other qualified health care professional (with or without the patient present), face-to-face with guardian(s)/caregiver(s), each 15 minutes","49","74%",,,"73.43",,,,,"NA","NA"
"1619","Carrier J","2020","Outpatient MH-SUD","Codes with the highest total number of prior authorization requests during the previous plan year","CPT","92523","Evaluation of speech sound production (eg, articulation, phonological process, apraxia, dysarthria); with evaluation of language comprehension and expression (eg, receptive and expressive language)","59","68%",,,"70.31",,,,,"NA","NA"
"1620","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","70553","Magnetic resonance (eg, proton) imaging, brain (including brain stem); without contrast material, followed by contrast material(s) and further sequences","5","100%",,,"0","18.9",,,,"NA","NA"
"1621","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","81229","Cytogenomic constitutional (genome-wide) microarray analysis; interrogation of genomic regions for copy number and single nucleotide polymorphism (SNP) variants for chromosomal abnormalities","5","100%",,,"16.24",,,,,"NA","NA"
"1622","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","70450","Computed tomography, head or brain; without contrast material","5","100%",,,"4.23","19.3",,,,"NA","NA"
"1623","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","81243","FMR1 (fragile X mental retardation 1) (eg, fragile X mental retardation) gene analysis; evaluation to detect abnormal (eg, expanded) alleles","4","100%",,,"20.3",,,,,"NA","NA"
"1624","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","97814","Acupuncture, 1 or more needles; with electrical stimulation, each additional 15 minutes of personal one-on-one contact with the patient, with re-insertion of needle(s) (List separately in addition to code for primary procedure)","4","100%",,,"6.39",,,,,"NA","NA"
"1625","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","97813","Acupuncture, 1 or more needles; with electrical stimulation, initial 15 minutes of personal one-on-one contact with the patient","4","100%",,,"6.39",,,,,"NA","NA"
"1626","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","17380","Electrolysis epilation, each 30 minutes","3","100%",,,"126.07",,,,,"NA","NA"
"1627","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","98943","Chiropractic manipulative treatment (CMT); extraspinal, 1 or more regions","3","100%",,,"0.84",,,,,"NA","NA"
"1628","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","HCPC","G0283","Electrical Stimulation (Unattended), To One Or More Areas For Indicati","3","100%",,,"35.97","0.1",,,,"NA","NA"
"1629","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","81416","Exome (eg, unexplained constitutional or heritable disorder or syndrome); sequence analysis, each comparator exome (eg, parents, siblings) (List separately in addition to code for primary procedure)","2","100%",,,"84.87",,,,,"NA","NA"
"1630","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","58571","Laparoscopy, surgical, with total hysterectomy, for uterus 250 g or less; with removal of tube(s) and/or ovary(s)","2","100%",,,"72.28","15.3",,,,"NA","NA"
"1631","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","97124","Therapeutic procedure, 1 or more areas, each 15 minutes; massage, including effleurage, petrissage and/or tapotement (stroking, compression, percussion)","2","100%",,,"0.05","11.1",,,,"NA","NA"
"1632","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","63650","Percutaneous implantation of neurostimulator electrode array, epidural","2","100%",,,"130.19","28.7",,,,"NA","NA"
"1633","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","81415","Exome (eg, unexplained constitutional or heritable disorder or syndrome); sequence analysis","2","100%",,,"84.87",,,,,"NA","NA"
"1634","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","64493","Injection(s), diagnostic or therapeutic agent, paravertebral facet (zygapophyseal) joint (or nerves innervating that joint) with image guidance (fluoroscopy or CT), lumbar or sacral; single level","2","100%",,,"211.34",,,,,"NA","NA"
"1635","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","0362T","Behavior identification supporting assessment, each 15 minutes of technicians' time face-to-face with a patient, requiring the following components: administration by the physician or other qualified health care professional who is on site; with the assistance of two or more technicians; for a patient who exhibits destructive behavior; completion in an environment that is customized to the patient's behavior.","2","100%",,,"107.44",,,,,"NA","NA"
"1636","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","64494","Injection(s), diagnostic or therapeutic agent, paravertebral facet (zygapophyseal) joint (or nerves innervating that joint) with image guidance (fluoroscopy or CT), lumbar or sacral; second level (List separately in addition to code for primary procedure)","2","100%",,,"211.34",,,,,"NA","NA"
"1637","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of approved prior authorization requests during the previous plan year","CPT","97164","Re-evaluation of physical therapy established plan of care, requiring these components: An examination including a review of history and use of standardized tests and measures is required; and Revised plan of care using a standardized patient assessment instrument and/or measurable assessment of functional outcome Typically, 20 minutes are spent face-to-face with the patient and/or family.","2","100%",,,"185.21",,,,,"NA","NA"
"1638","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","17380","Electrolysis epilation, each 30 minutes","3","0%","33%",,"126.07",,,,,"NA","NA"
"1639","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","97152","Behavior identification-supporting assessment, administered by one technician under the direction of a physician or other qualified health care professional, face-to-face with the patient, each 15 minutes","11","0%","9%",,"103.21",,,,,"NA","NA"
"1640","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","97154","Group adaptive behavior treatment by protocol, administered by technician under the direction of a physician or other qualified health care professional, face-to-face with two or more patients, each 15 minutes","12","0%","8%",,"45.83",,,,,"NA","NA"
"1641","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","90868","Therapeutic repetitive transcranial magnetic stimulation (TMS) treatment; subsequent delivery and management, per session","76","0%","3%","19.49","43.53",,,,,"NA","NA"
"1642","Carrier J","2020","Outpatient MH-SUD","Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal","CPT","97153","Adaptive behavior treatment by protocol, administered by technician under the direction of a physician or other qualified health care professional, face-to-face with one patient, each 15 minutes","46","0%","2%",,"77.58",,,,,"NA","NA"
