Carrier,Year,Service category,Request,Code type,Code,Description of service,Number of requests per code,Expedited - Avg response time,Standard - Avg response time,Extenuating circumstances - Avg response time,Expedited - Number of requests,Standard - Number of requests,Extenuating circumstances - Number of requests,Drug name,Drug brand names,decision
Carrier M,2021,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,H2036,"ALCOHOL AND/OR DRUG TREATMENT PROGRAM, PER DIEM",20.0,,10.8,,0.0,20.0,,missing,missing,approved
Carrier M,2021,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,97153,"ADAPTIVE BEHAVIOR TREATMENT BY PROTOCOL, ADMINISTERED BY TECHNICIAN UNDER THE DIRECTION OF A PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL, FACE-TO-FACE WITH ONE PATIENT, EACH 15 MINUTES",18.0,,766.7,,0.0,18.0,,missing,missing,approved
Carrier M,2021,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,97155,"ADAPTIVE BEHAVIOR TREATMENT WITH PROTOCOL MODIFICATION, ADMINISTERED BY PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL, WHICH MAY INCLUDE SIMULTANEOUS DIRECTION OF TECHNICIAN, FACE-TO-FACE WITH ONE PATIENT, EACH 15 MINUTES",18.0,,766.7,,0.0,18.0,,missing,missing,approved
Carrier M,2021,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,97156,"FAMILY ADAPTIVE BEHAVIOR TREATMENT GUIDANCE, ADMINISTERED BY PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL (WITH OR WITHOUT THE PATIENT PRESENT),FACE- TO-FACE WITH GUARDIAN(S)/CAREGIVER(S), EACH 15 MINUTES",18.0,,766.7,,0.0,18.0,,missing,missing,approved
Carrier M,2021,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,97151,"BEHAVIOR IDENTIFICATION ASSESSMENT, ADMINISTERED BY A PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL, EACH 15 MINUTES OF THE PHYSICIANS OR OTHER QUALI FIED HEALTH CARE PROFESSIONALS TIME FACE-TO-FACE WITH PATIENT AND/OR GUARDIAN( S)/CAREGIVER(S) A",17.0,,21.2,,0.0,17.0,,missing,missing,approved
Carrier M,2021,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,90869,THERAPEUTIC REPETITIVE TRANSCRANIAL MAGNETIC STIMULATION (TMS) TREATMENT; SUBSEQUENT MOTOR THRESHOLD RE-DETERMINATION WITH DELIVERY AND MANAGEMENT,28.0,,105.4,,0.0,28.0,,missing,missing,approved
Carrier M,2021,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,90867,"THERAPEUTIC REPETITIVE TRANSCRANIAL MAGNETIC STIMULATION (TMS) TREATMENT; INITIAL, INCLUDING CORTICAL MAPPING, MOTOR THRESHOLD DETERMINATION, DELIVERY AND MANAGEMENT",38.0,,135.2,,0.0,38.0,,missing,missing,approved
Carrier M,2021,Outpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,90868,"THERAPEUTIC REPETITIVE TRANSCRANIAL MAGNETIC STIMULATION (TMS) TREATMENT; SUBSEQUENT DELIVERY AND MANAGEMENT, PER SESSION",38.0,,135.2,,0.0,38.0,,missing,missing,approved
Carrier M,2021,Outpatient MH-SUD,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,90867,"THERAPEUTIC REPETITIVE TRANSCRANIAL MAGNETIC STIMULATION (TMS) TREATMENT; INITIAL, INCLUDING CORTICAL MAPPING, MOTOR THRESHOLD DETERMINATION, DELIVERY AND MANAGEMENT",13.0,,236.3,,0.0,13.0,,missing,missing,denied
Carrier M,2021,Outpatient MH-SUD,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,90868,"THERAPEUTIC REPETITIVE TRANSCRANIAL MAGNETIC STIMULATION (TMS) TREATMENT; SUBSEQUENT DELIVERY AND MANAGEMENT, PER SESSION",13.0,,236.3,,0.0,13.0,,missing,missing,denied
Carrier M,2021,Outpatient MH-SUD,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,90869,THERAPEUTIC REPETITIVE TRANSCRANIAL MAGNETIC STIMULATION (TMS) TREATMENT; SUBSEQUENT MOTOR THRESHOLD RE-DETERMINATION WITH DELIVERY AND MANAGEMENT,9.0,,184.0,,0.0,9.0,,missing,missing,denied
Carrier M,2021,Outpatient MH-SUD,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,97152,"BEHAVIOR IDENTIFICATIONSUPPORTING ASSESSMENT, ADMINISTERED BY ONE TECHNICIAN U NDER THE DIRECTION OF A PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL, FACE-TO-FACE WITH THE PATIENT, EACH 15 MINUTES",1.0,,72.0,,0.0,1.0,,missing,missing,denied
Carrier M,2021,Outpatient MH-SUD,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,97158,"GROUP ADAPTIVE BEHAVIOR TREATMENT WITH PROTOCOL MODIFICATION, ADMINISTERED BY PHYSICIAN OR OTHER QUALIFIED HEALTH CARE PROFESSIONAL, FACE-TO-FACE WITH MULTIPLE PATIENTS, EACH 15 MINUTES",1.0,,3024.0,,0.0,1.0,,missing,missing,denied
Carrier A,2021,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0784,Ext Amb Infusn Pump Insulin,4.0,,108.2401342,,,4.0,,missing,missing,approved
Carrier A,2021,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A9276,"Disposable sensor, CGM sys",1.0,,160.5394444,,,1.0,,missing,missing,denied
Carrier A,2021,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,A9277,"External transmitter, CGM",1.0,,160.5394444,,,1.0,,missing,missing,denied
Carrier A,2021,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0784,Ext Amb Infusn Pump Insulin,4.0,,108.2401342,,,4.0,,missing,missing,approved
Carrier A,2021,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A9276,"Disposable sensor, CGM sys",1.0,,160.5394444,,,1.0,,missing,missing,denied
Carrier A,2021,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,A9277,"External transmitter, CGM",1.0,,160.5394444,,,1.0,,missing,missing,denied
Carrier A,2021,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0470,"Respiratory assist device, bi-level pressure capability, without back-up rate feature, used with noninvasive interface, e.g., nasal or facial mask (intermittent assist device with continuous positive airway pressure device)",9.0,,8.702746913,,,9.0,,missing,missing,approved
Carrier A,2021,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E2599,"Accessory for speech generating device, not otherwise classified",2.0,,105.9313889,,,2.0,,missing,missing,approved
Carrier A,2021,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0601,Continuous airway pressure (CPAP) device [may be used for either CPAP or APAP],196.0,,1.340782313,,,196.0,,missing,missing,approved
Carrier A,2021,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0471,"Respiratory assist device, bi-level pressure capability, with back-up rate feature, used with noninvasive interface, e.g., nasal or facial mask (intermittent assist device with continuous positive airway pressure device)",14.0,,19.04505952,,,14.0,,missing,missing,approved
Carrier A,2021,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0748,Elec Osteogen Stim Spinal,3.0,,62.68567991,,,3.0,,missing,missing,denied
Carrier A,2021,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E1399,Durable Medical Equipment Mi,11.0,,182.9355853,,,11.0,,missing,missing,denied
Carrier A,2021,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0781,External Ambulatory Infus Pu,4.0,,0.00438632,,,4.0,,missing,missing,denied
Carrier A,2021,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0978,Wheelchair Belt W/Airplane B,2.0,,0.010277779,,,2.0,,missing,missing,denied
Carrier A,2021,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0950,Tray,2.0,,0.010729166,,,2.0,,missing,missing,denied
Carrier A,2021,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E1028,"Wheelchair accessory, manual swingaway, retractable or removable mounting hardware",2.0,,0.010413334,,,2.0,,missing,missing,denied
Carrier A,2021,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E2510,"Speech generating device, synthesized speech, permitting multiple methods",2.0,,12.02839625,,,2.0,,missing,missing,denied
Carrier A,2021,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0960,"Wheelchair accessory, shoulder harness/straps or chest strap, including any type mounting hardware",2.0,,0.010150973,,,2.0,,missing,missing,denied
Carrier A,2021,DME,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,E0466,HOME VENT NON-INVASIVE INTER,2.0,17.2175,92.87083333,,1.0,1.0,,missing,missing,denied
Carrier A,2021,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0470,"Respiratory assist device, bi-level pressure capability, without back-up rate feature, used with noninvasive interface, e.g., nasal or facial mask (intermittent assist device with continuous positive airway pressure device)",9.0,,8.702746913,,,9.0,,missing,missing,approved
Carrier A,2021,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E2599,"Accessory for speech generating device, not otherwise classified",2.0,,105.9313889,,,2.0,,missing,missing,approved
Carrier A,2021,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0601,Continuous airway pressure (CPAP) device [may be used for either CPAP or APAP],196.0,,1.340782313,,,196.0,,missing,missing,approved
Carrier A,2021,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0471,"Respiratory assist device, bi-level pressure capability, with back-up rate feature, used with noninvasive interface, e.g., nasal or facial mask (intermittent assist device with continuous positive airway pressure device)",14.0,,19.04505952,,,14.0,,missing,missing,approved
Carrier A,2021,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0748,Elec Osteogen Stim Spinal,3.0,,62.68567991,,,3.0,,missing,missing,denied
Carrier A,2021,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E1399,Durable Medical Equipment Mi,11.0,,182.9355853,,,11.0,,missing,missing,denied
Carrier A,2021,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0781,External Ambulatory Infus Pu,4.0,,0.00438632,,,4.0,,missing,missing,denied
Carrier A,2021,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0978,Wheelchair Belt W/Airplane B,2.0,,0.010277779,,,2.0,,missing,missing,denied
Carrier A,2021,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0950,Tray,2.0,,0.010729166,,,2.0,,missing,missing,denied
Carrier A,2021,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E1028,"Wheelchair accessory, manual swingaway, retractable or removable mounting hardware",2.0,,0.010413334,,,2.0,,missing,missing,denied
Carrier A,2021,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E2510,"Speech generating device, synthesized speech, permitting multiple methods",2.0,,12.02839625,,,2.0,,missing,missing,denied
Carrier A,2021,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0960,"Wheelchair accessory, shoulder harness/straps or chest strap, including any type mounting hardware",2.0,,0.010150973,,,2.0,,missing,missing,denied
Carrier A,2021,DME,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,E0466,HOME VENT NON-INVASIVE INTER,2.0,17.2175,92.87083333,,1.0,1.0,,missing,missing,denied
Carrier A,2021,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,22840,"Posterior non-segmental instrumentation (eg, Harrington rod technique, pedicle fixation across 1 interspace, atlantoaxial transarticular screw fixation, sublaminar wiring at C1, facet screw fixation) (List separately in addition to code for primary procedure)",7.0,,52.77394383,,,7.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,22612,"Arthrodesis, posterior or posterolateral technique, single level; lumbar (with lateral transverse technique, when performed)",6.0,,67.90327581,,,6.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,63047,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; lumbar",5.0,,70.2762026,,,5.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,22558,"Arthrodesis, anterior interbody technique, including minimal discectomy to prepare interspace (other than for decompression); lumbar",5.0,,70.46072986,,,5.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,22853,"Insertion of interbody biomechanical device(s) (eg, synthetic cage, mesh) with integral anterior instrumentation for device anchoring (eg, screws, flanges), when performed, to intervertebral disc space in conjunction with interbody arthrodesis, each interspace (List separately in addition to code for primary procedure)",8.0,,66.6517052,,,8.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,96416,"Chemotherapy administration, intravenous infusion technique; initiation of prolonged chemotherapy infusion (more than 8 hours), requiring use of a portable or implantable pump",10.0,,41.18195907,,,10.0,,missing,missing,denied
Carrier A,2021,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,J9250,Methotrexate Sodium Inj,6.0,,34.9061865,,,6.0,,missing,missing,denied
Carrier A,2021,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,19364,"Breast reconstruction; with free flap (eg, fTRAM, DIEP, SIEA, GAP flap)",5.0,,13.92645522,,,5.0,,missing,missing,denied
Carrier A,2021,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,69990,"Microsurgical techniques, requiring use of operating microscope (List separately in addition to code for primary procedure)",5.0,,0.020715556,,,5.0,,missing,missing,denied
Carrier A,2021,Inpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,S2068,Breast DIEP flag reconstruct,5.0,,13.92634167,,,5.0,,missing,missing,denied
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,33929,Removal of a total replacement heart system (artificial heart) for heart transplantation (List separately in addition to code for primary procedure),1.0,3.79888889,,,1.0,,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,33976,"Insertion of ventricular assist device; extracorporeal, biventricular",1.0,3.79888889,,,1.0,,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,33927,Implantation of a total replacement heart system (artificial heart) with recipient cardiectomy,1.0,3.79888889,,,1.0,,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,33945,"Heart transplant, with or without recipient cardiectomy",1.0,3.79888889,,,1.0,,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,33979,"Insertion of ventricular assist device, implantable intracorporeal, single ventricle",1.0,3.79888889,,,1.0,,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,33361,Transcatheter aortic valve replacement (TAVR/TAVI) with prosthetic valve; percutaneous femoral artery approach,1.0,0.004444445,,,1.0,,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,22840,"Posterior non-segmental instrumentation (eg, Harrington rod technique, pedicle fixation across 1 interspace, atlantoaxial transarticular screw fixation, sublaminar wiring at C1, facet screw fixation) (List separately in addition to code for primary procedure)",7.0,,52.77394383,,,7.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,22612,"Arthrodesis, posterior or posterolateral technique, single level; lumbar (with lateral transverse technique, when performed)",6.0,,67.90327581,,,6.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,63047,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; lumbar",5.0,,70.2762026,,,5.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,22558,"Arthrodesis, anterior interbody technique, including minimal discectomy to prepare interspace (other than for decompression); lumbar",5.0,,70.46072986,,,5.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,22842,"Posterior segmental instrumentation (eg, pedicle fixation, dual rods with multiple hooks and sublaminar wires); 3 to 6 vertebral segments (List separately in addition to code for primary procedure)",4.0,,76.09473587,,,4.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,22585,"Arthrodesis, anterior interbody technique, including minimal discectomy to prepare interspace (other than for decompression); each additional interspace (List separately in addition to code for primary procedure)",2.0,,57.4230399,,,2.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,63048,"Laminectomy, facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord, cauda equina and/or nerve root[s], [eg, spinal or lateral recess stenosis]), single vertebral segment; each additional segment, cervical, thoracic, or lumbar (List separately in addition to code for primary procedure)",2.0,,57.4230399,,,2.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,23472,"Arthroplasty, glenohumeral joint; total shoulder (glenoid and proximal humeral replacement (eg, total shoulder))",2.0,,12.81386847,,,2.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,22614,"Arthrodesis, posterior or posterolateral technique, single level; each additional vertebral segment (List separately in addition to code for primary procedure)",2.0,,57.4230399,,,2.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,22856,"Total disc arthroplasty (artificial disc), anterior approach, including discectomy with end plate preparation (includes osteophytectomy for nerve root or spinal cord decompression and microdissection); single interspace, cervical",1.0,,22.43535278,,,1.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,22800,"Arthrodesis, posterior, for spinal deformity, with or without cast; up to 6 vertebral segments",1.0,,25.19059361,,,1.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,22633,"Arthrodesis, combined posterior or posterolateral technique with posterior interbody technique including laminectomy and/or discectomy sufficient to prepare interspace (other than for decompression), single interspace and segment; lumbar",1.0,,44.73411944,,,1.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,27132,"Conversion of previous hip surgery to total hip arthroplasty, with or without autograft or allograft",1.0,,36.80007583,,,1.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,63252,Laminectomy for excision or occlusion of arteriovenous malformation of spinal cord; thoracolumbar,1.0,,0.030555556,,,1.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,15769,"Grafting of autologous soft tissue, other, harvested by direct excision (eg, fat, dermis, fascia)",1.0,,71.77944444,,,1.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,33340,"Percutaneous transcatheter closure of the left atrial appendage with endocardial implant, including fluoroscopy, transseptal puncture, catheter placement(s), left atrial angiography, left atrial appendage angiography, when performed, and radiological supervision and interpretation",1.0,,1.785277778,,,1.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,22630,"Arthrodesis, posterior interbody technique, including laminectomy and/or discectomy to prepare interspace (other than for decompression), single interspace; lumbar",1.0,,25.19059361,,,1.0,,missing,missing,approved
Carrier A,2021,Inpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,20931,"Allograft, structural, for spine surgery only (List separately in addition to code for primary procedure)",1.0,,16.89200917,,,1.0,,missing,missing,approved
Carrier A,2021,Inpatient MH-SUD,Codes with the highest total number of prior authorization requests during the previous plan year,Revenue,124,"Room and board, Semi-Private, Psychiatric",4.0,1.234166666,1.459653055,,1.0,3.0,,missing,missing,approved
Carrier A,2021,Inpatient MH-SUD,Codes with the highest total number of prior authorization requests during the previous plan year,Revenue,1002,"Residential treatment, Substance Use Disorder",13.0,,62.60147669,,,13.0,,missing,missing,approved
Carrier A,2021,Inpatient MH-SUD,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,H0019,Alcohol And/Or Drug Services,1.0,102.2166667,,,1.0,,,missing,missing,denied
Carrier A,2021,Inpatient MH-SUD,Codes with the highest total number of prior authorization requests during the previous plan year,Revenue,1001,"Residential treatment, Psychiatric",1.0,,138.8416667,,,1.0,,missing,missing,denied
Carrier A,2021,Inpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,Revenue,124,"Room and board, Semi-Private, Psychiatric",4.0,1.234166666,1.459653055,,1.0,3.0,,missing,missing,approved
Carrier A,2021,Inpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,Revenue,1002,"Residential treatment, Substance Use Disorder",13.0,,62.60147669,,,13.0,,missing,missing,approved
Carrier A,2021,Inpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,HCPC,H0019,Alcohol And/Or Drug Services,1.0,102.2166667,,,1.0,,,missing,missing,denied
Carrier A,2021,Inpatient MH-SUD,Codes with the highest percentage of approved prior authorization requests during the previous plan year,Revenue,1001,"Residential treatment, Psychiatric",1.0,,138.8416667,,,1.0,,missing,missing,denied
Carrier A,2021,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,HCPC,G0399,"Home sleep test (HST) with type III portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ECG/heart rate and 1 oxygen saturation",145.0,,9.725153257,,,145.0,,missing,missing,approved
Carrier A,2021,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,93306,"ECHO, transthoracic w/doppler, complete",251.0,,6.987740448,720.0,,251.0,1.0,missing,missing,approved
Carrier A,2021,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,74176,CT abd & pelvis,226.0,,12.2330689,,,226.0,,missing,missing,approved
Carrier A,2021,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,73721,"MRI, lower extremity any joint; wo contr",211.0,0.108611112,8.666618187,,1.0,210.0,,missing,missing,approved
Carrier A,2021,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,73221,"MRI, any joint of upper extremity; wo co",114.0,0.153055555,11.97213207,672.0,1.0,113.0,1.0,missing,missing,approved
Carrier A,2021,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,72148,MRI of lumbar spine,159.0,,12.34567115,,,159.0,,missing,missing,approved
Carrier A,2021,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,97140,"Manual therapy techniques (eg, mobilization/ manipulation, manual lymphatic drainage, manual traction), 1 or more regions, each 15 minutes",474.0,40.14867806,40.97692555,,3.0,471.0,,missing,missing,approved
Carrier A,2021,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,97110,"Therapeutic procedure, 1 or more areas, each 15 minutes; therapeutic exercises to develop strength and endurance, range of motion and flexibility",496.0,40.14867806,37.51292904,,3.0,493.0,,missing,missing,approved
Carrier A,2021,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,97530,"Therapeutic activities, direct (one-on-one) patient contact (use of dynamic activities to improve functional performance), each 15 minutes",246.0,30.694312,39.348981,,3.0,243.0,,missing,missing,approved
Carrier A,2021,Outpatient Med-Surg,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,97112,"Therapeutic procedure, 1 or more areas, each 15 minutes; neuromuscular reeducation of movement, balance, coordination, kinesthetic sense, posture, and/or proprioception for sitting and/or standing activities",258.0,16.51276292,43.91067717,624.0,2.0,256.0,1.0,missing,missing,approved
Carrier A,2021,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,27130,"Arthroplasty, acetabular and proximal femoral prosthetic replacement (total hip arthroplasty), with or without autograft or allograft",22.0,,8.486309407,,,22.0,,missing,missing,approved
Carrier A,2021,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,64494,"Injection(s), diagnostic or therapeutic agent, paravertebral facet (zygapophyseal) joint (or nerves innervating that joint) with image guidance (fluoroscopy or CT), lumbar or sacral; second level (List separately in addition to code for primary procedure)",18.0,,0.031796595,,,18.0,,missing,missing,approved
Carrier A,2021,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,72157,MRI of thoracic spine,17.0,,1.824656863,,,17.0,,missing,missing,approved
Carrier A,2021,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,74174,ct angio abd&pelv w/o&w/dye,16.0,,7.785902778,,,16.0,,missing,missing,approved
Carrier A,2021,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,70552,Contrast MRI of brain,15.0,,11.70940741,,,15.0,,missing,missing,approved
Carrier A,2021,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,93303,"ECHO, transthoracic, complete cng",14.0,,0.014484127,,,14.0,,missing,missing,approved
Carrier A,2021,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,70543,MRI orb/fc/nck w/o cntrst flwd cntr,14.0,,12.11799603,,,14.0,,missing,missing,approved
Carrier A,2021,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,29882,"Arthroscopy, knee, surgical; with meniscus repair (medial OR lateral)",13.0,,41.81070067,,,13.0,,missing,missing,approved
Carrier A,2021,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,73720,"MRI, lower extremity other than joint; w",13.0,,5.170683761,,,13.0,,missing,missing,approved
Carrier A,2021,Outpatient Med-Surg,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,93312,"ECHO, transesophageal, heart, compl",12.0,,6.94e-05,,,12.0,,missing,missing,approved
