Carrier,Year,Service category,Request,Code type,Code,Description of service,Number of requests per code,Expedited - Avg response time,Standard - Avg response time,Extenuating circumstances - Avg response time,Expedited - Number of requests,Standard - Number of requests,Extenuating circumstances - Number of requests,Drug name,Drug brand names,decision
Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,A9276,SENSOR;INVSV DISP INTRSTL CONT GLU MON SYS 1U=1D,1041.0,14.7,371.7,,,,,missing,missing,approved
Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,E0607,HOME BLOOD GLUCOSE MONITOR,10.0,7.3,193.9,,,,,missing,missing,approved
Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,E0784,EXTERN AMBUL INSULIN INFUS PUMP,179.0,63.9,385.1,,,,,missing,missing,approved
Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest total number of prior authorization requests during the previous plan year,CPT,K0553,"SUPPLY ALLOWANCE FOR THERAPEUTIC CONTINUOUS GLUCOSE MONITOR (CGM), INCLUDES ALL SUPPLIES AND ACCESSORIES",21.0,34.3,956.6,,,,,missing,missing,approved
Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,95249,"GLUCOSE MONITORING 72 HRS, PT PROVIDED EQUIP, TRAINING AND RECORDING",11.0,,188.2,,,,,missing,missing,approved
Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A9277,TRANSMITTER; EXT INTERSTITIAL CONT GLU MON SYS,8.0,0.3,75.4,,,,,missing,missing,approved
Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A6460,SYNTHETIC DRSG <= 16 SQ I,2.0,,0.1,,,,,missing,missing,approved
Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A4221,WEEKLY SUPPLIES DRUG INFUS CATH,2.0,,382.5,,,,,missing,missing,approved
Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A4245,ALCOHOL WIPES PER BOX,1.0,0.2,,,,,,missing,missing,approved
Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A6461,SYNTHETIC DRSG >16<=48 SQ,1.0,,0.1,,,,,missing,missing,approved
Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A9278,RECEIVER MON; EXT INTERSTITIAL CONT GLU MON SYS,1.0,,1.5,,,,,missing,missing,approved
Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A4340,INDWELLING CATH SPECIAL,1.0,0.1,,,,,,missing,missing,approved
Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A5120,"SKIN BARRIER, WIPE OR SWA",1.0,,191.6,,,,,missing,missing,approved
Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of approved prior authorization requests during the previous plan year,CPT,A4352,COUDE TIP URINARY CATH,1.0,4.4,,,,,,missing,missing,approved
Carrier C,2020,Diabetes Supplies and Equip,Codes with the highest percentage of prior authorization requests that were initially denied and then subsequently approved on appeal,CPT,E0781,INFUS PUMP AMBULATORY,1.0,,1013.0,,,,,missing,missing,denied
